iter	RMSE
0	0.5182700814
1	0.4847106101
2	0.4582185632
3	0.4356296309
4	0.415354276
5	0.3979375038
6	0.3836149783
7	0.3733139671
8	0.3619151073
9	0.3515474851
10	0.3447345693
11	0.3381299317
12	0.333497839
13	0.3272828575
14	0.3216707635
15	0.3169974501
16	0.313595368
17	0.3098168102
18	0.306411972
19	0.3040104289
20	0.3018866103
21	0.2990267555
22	0.2969239092
23	0.2932984096
24	0.2902070609
25	0.2883147072
26	0.2871282764
27	0.2849594364
28	0.2833099192
29	0.2821195899
30	0.2800741383
31	0.2795074335
32	0.2788096919
33	0.2763605377
34	0.2749530342
35	0.2734395718
36	0.2722450492
37	0.2712414737
38	0.2705817237
39	0.2690464618
40	0.267192754
41	0.26610023
42	0.2653093853
43	0.2639129045
44	0.2628909778
45	0.262363753
46	0.2618544082
47	0.2614229492
48	0.261099989
49	0.2602461057
50	0.2596154319
51	0.2591232737
52	0.2584571762
53	0.257875964
54	0.2570092138
55	0.2565760231
56	0.2560626103
57	0.2559021377
58	0.2555522602
59	0.2552960165
60	0.2546672541
61	0.2541002175
62	0.2538538719
63	0.2534179136
64	0.2530787624
65	0.2527608318
66	0.2525472591
67	0.2523614241
68	0.2522479537
69	0.2520444959
70	0.2518913496
71	0.2517454228
72	0.2512149406
73	0.2510534249
74	0.250931248
75	0.2505758977
76	0.2500486112
77	0.2498179331
78	0.24967884
79	0.249572742
80	0.2493278854
81	0.2492553973
82	0.2490700621
83	0.2485942371
84	0.2482986492
85	0.2479376785
86	0.2478791317
87	0.2475936306
88	0.2474100616
89	0.2471881215
90	0.2469053515
91	0.2467873624
92	0.2465206809
93	0.2462896879
94	0.2461935773
95	0.2458777312
96	0.2458269923
97	0.2454615045
98	0.2452092854
99	0.2449031529
100	0.2448399244
101	0.2447144664
102	0.2446287765
103	0.2443687421
104	0.2442115532
105	0.2440593296
106	0.2436370982
107	0.2434544098
108	0.2432423455
109	0.2429488236
110	0.2428290207
111	0.2427254919
112	0.2425818998
113	0.2424007423
114	0.2422688838
115	0.2421979234
116	0.2420653259
117	0.2419216698
118	0.2418489198
119	0.2417604887
120	0.241672273
121	0.2415595571
122	0.241476335
123	0.2413758708
124	0.2411958498
125	0.2409751072
126	0.2408872007
127	0.2406437802
128	0.2405510233
129	0.2404817157
130	0.2402810019
131	0.2402237592
132	0.2401347823
133	0.2399991261
134	0.2399040297
135	0.2397873174
136	0.2395823245
137	0.239467554
138	0.2393839494
139	0.2392772724
140	0.239056989
141	0.2388802609
142	0.238774638
143	0.2385154359
144	0.2382203057
145	0.2381097829
146	0.2379351579
147	0.2375350266
148	0.2371481902
149	0.2367969619
150	0.2364991233
151	0.2364571224
152	0.2360351882
153	0.2358350126
154	0.2356961888
155	0.2355465993
156	0.2353741855
157	0.2352167786
158	0.2346329031
159	0.2345554959
160	0.234356042
161	0.2342974182
162	0.2341043538
163	0.2339388251
164	0.2338293247
165	0.233776641
166	0.233700276
167	0.2335476989
168	0.2334665322
169	0.2333243778
170	0.2332648754
171	0.2330265768
172	0.232553172
173	0.2323268304
174	0.2322684953
175	0.2321203458
176	0.2320312006
177	0.2317964924
178	0.2316538542
179	0.2315577198
180	0.2313081011
181	0.2310810761
182	0.2309394921
183	0.2309044697
184	0.2308057153
185	0.2306833498
186	0.2305347706
187	0.2303527132
188	0.230155626
189	0.2299556619
190	0.2297801004
191	0.2296566537
192	0.2294433163
193	0.229336715
194	0.2291674488
195	0.2290638674
196	0.228875712
197	0.228756695
198	0.2285532666
199	0.2284456273
200	0.2283631646
201	0.2282887142
202	0.2282340254
203	0.2281489517
204	0.2279115208
205	0.2277689365
206	0.2276241057
207	0.2272270934
208	0.2271284614
209	0.2270122586
210	0.2268644597
211	0.2267494727
212	0.2265196951
213	0.226348345
214	0.2261042196
215	0.2259701477
216	0.2258974067
217	0.225771164
218	0.2256778794
219	0.2254110025
220	0.2252754606
221	0.2251446952
222	0.2250137897
223	0.2249011501
224	0.2247809485
225	0.2247471176
226	0.2246917317
227	0.2245525609
228	0.2244329933
229	0.2243698569
230	0.2242254117
231	0.2241377246
232	0.2240274817
233	0.223893891
234	0.2237641344
235	0.2236816779
236	0.2236174444
237	0.2234741503
238	0.2233197152
239	0.2232518247
240	0.2231603725
241	0.2230873281
242	0.2229891218
243	0.2229258659
244	0.222790543
245	0.2227007554
246	0.2225599082
247	0.2225439814
248	0.2225125276
249	0.2224622152
250	0.2223781311
251	0.2222977325
252	0.222166947
253	0.2221390842
254	0.2221182312
255	0.221977812
256	0.2218665084
257	0.2217560015
258	0.2216824554
259	0.2216030958
260	0.2214635409
261	0.2214057969
262	0.2210996263
263	0.2210004346
264	0.2209582523
265	0.2207685289
266	0.2206834537
267	0.2205073649
268	0.220478596
269	0.2204271332
270	0.2203363317
271	0.2202969459
272	0.2202496704
273	0.2201731506
274	0.2201376538
275	0.2200034119
276	0.2199445659
277	0.219857126
278	0.2197269584
279	0.219615828
280	0.2194806264
281	0.219398772
282	0.2193722416
283	0.2192563566
284	0.2190944351
285	0.2190456127
286	0.2188949247
287	0.2188217824
288	0.218727953
289	0.2186090202
290	0.218520376
291	0.2184767434
292	0.2184110121
293	0.218295863
294	0.2182520817
295	0.2181413219
296	0.2180427367
297	0.2178575658
298	0.217690741
299	0.217652434
