name,manufacturer,year,age,mileage,engine,transmission,price
Nissan Qashqai,Nissan,2018,3,19056,Diesel,Manual,18490
Nissan Qashqai,Nissan,2021,0,3500,Petrol,Manual,29495
Nissan Qashqai,Nissan,2021,0,2500,Petrol,Semiautomatic,29495
Nissan Qashqai,Nissan,2017,4,18597,Petrol,Automatic,17450
Nissan Qashqai,Nissan,2017,4,8669,Petrol,Manual,15295
Nissan Qashqai,Nissan,2018,3,13577,Petrol,Manual,17000
Nissan X Trail,Nissan,2018,3,19845,Petrol,Manual,23495
Nissan X Trail,Nissan,2018,3,19575,Petrol,Manual,20995
Nissan X Trail,Nissan,2018,3,53670,Diesel,Manual,17990
Nissan X Trail,Nissan,2017,4,29474,Diesel,Manual,17000
Nissan X Trail,Nissan,2018,3,10245,Diesel,Manual,21990
Nissan Note,Nissan,2015,6,24304,Petrol,Manual,6500
