name,manufacturer,year,age,mileage,engine,transmission,price
Vauxhall Mokka,Vauxhall,2015,6,37998,Petrol,Manual,9995
Vauxhall Mokka X,Vauxhall,2018,3,23615,Petrol,Manual,13000
Vauxhall Mokka X,Vauxhall,2018,3,15500,Petrol,Manual,13495
Vauxhall Mokka X,Vauxhall,2017,4,8255,Petrol,Semiautomatic,13995
Vauxhall Mokka X,Vauxhall,2017,4,17645,Petrol,Semiautomatic,13450
Vauxhall Mokka,Vauxhall,2015,6,43901,Diesel,Manual,8200
Vauxhall Insignia,Vauxhall,2018,3,27473,Petrol,Manual,13980
Vauxhall Insignia,Vauxhall,2016,5,38000,Diesel,Manual,7465
Vauxhall Insignia,Vauxhall,2018,3,19012,Petrol,Manual,13000
Vauxhall Zafira,Vauxhall,2018,3,18873,Petrol,Manual,14795
Vauxhall Vivaro,Vauxhall,2018,3,58877,Diesel,Manual,15950
Vauxhall Vivaro,Vauxhall,2017,4,46344,Diesel,Manual,16995
Vauxhall Corsa,Vauxhall,2020,1,880,Petrol,Automatic,19000
Vauxhall Corsa,Vauxhall,2014,7,55000,Petrol,Manual,3800
Vauxhall Corsa,Vauxhall,2014,7,54272,Petrol,Manual,4900
Vauxhall Corsa,Vauxhall,2019,2,15823,Petrol,Manual,9597
Vauxhall Corsa,Vauxhall,2018,3,21989,Petrol,Manual,9200
Vauxhall Corsa,Vauxhall,2015,6,72609,Petrol,Manual,5800
Vauxhall Corsa,Vauxhall,2018,3,18116,Petrol,Manual,9495
Vauxhall Corsa,Vauxhall,2020,1,423,Petrol,Automatic,19990
Vauxhall Corsa,Vauxhall,2018,3,6184,Petrol,Manual,9965
Vauxhall Corsa,Vauxhall,2017,4,29909,Petrol,Manual,7899
Vauxhall Corsa,Vauxhall,2020,1,1865,Petrol,Manual,15159
Vauxhall Corsa,Vauxhall,2017,4,27401,Petrol,Manual,6900
Vauxhall Combo Cargo,Vauxhall,2019,2,34830,Diesel,Manual,15495
Vauxhall Astra,Vauxhall,2020,1,15300,Petrol,Manual,14995
Vauxhall Astra,Vauxhall,2018,3,24050,Petrol,Manual,10995
Vauxhall Astra,Vauxhall,2017,4,32300,Petrol,Manual,9695
Vauxhall Astra,Vauxhall,2017,4,56701,Petrol,Semiautomatic,9000
Toyota C HR,Toyota,2018,3,19664,Petrol,Manual,18995
Toyota C HR,Toyota,2020,1,355,Hybrid,Automatic,29996
Toyota C HR,Toyota,2018,3,34280,Hybrid,Automatic,20757
Toyota C HR,Toyota,2018,3,22000,Petrol,Manual,19450
Toyota C HR,Toyota,2020,1,9210,Hybrid,Automatic,26800
Toyota C HR,Toyota,2020,1,1953,Hybrid,Automatic,29000
Toyota C HR,Toyota,2019,2,5538,Hybrid,Automatic,27500
Toyota C HR,Toyota,2018,3,47221,Hybrid,Automatic,22400
Toyota C HR,Toyota,2018,3,41165,Hybrid,Automatic,23500
Toyota C HR,Toyota,2021,0,5226,Hybrid,Automatic,27995
Toyota C HR,Toyota,2019,2,17000,Hybrid,Automatic,23995
Toyota C HR,Toyota,2020,1,8721,Hybrid,Automatic,24489
Toyota Verso,Toyota,2016,5,28000,Petrol,Semiautomatic,16495
Toyota Yaris,Toyota,2014,7,26320,Petrol,Manual,6790
Toyota Yaris,Toyota,2017,4,33191,Hybrid,Automatic,11849
Toyota Yaris,Toyota,2020,1,2418,Hybrid,Automatic,20999
Toyota Yaris,Toyota,2016,5,11770,Hybrid,Automatic,12390
Toyota Yaris,Toyota,2019,2,11239,Petrol,Manual,11900
Toyota Yaris,Toyota,2019,2,4254,Petrol,Automatic,15882
Toyota Yaris,Toyota,2014,7,45454,Hybrid,Automatic,8998
Toyota Yaris,Toyota,2019,2,6653,Petrol,Automatic,16995
Toyota Yaris,Toyota,2019,2,37435,Petrol,Manual,12195
Toyota Yaris,Toyota,2019,2,5053,Hybrid,Automatic,15495
Toyota Yaris,Toyota,2019,2,15495,Hybrid,Automatic,15695
Toyota Yaris,Toyota,2019,2,6841,Hybrid,Automatic,15195
Toyota Yaris,Toyota,2018,3,18076,Petrol,Manual,11995
Toyota Yaris,Toyota,2018,3,9965,Hybrid,Automatic,14495
Toyota Yaris,Toyota,2017,4,3000,Hybrid,Automatic,13995
Toyota Yaris,Toyota,2017,4,10000,Petrol,Manual,9295
Toyota Yaris,Toyota,2016,5,8900,Petrol,Manual,8995
Toyota Rav4,Toyota,2016,5,61246,Diesel,Manual,13800
Toyota Rav4,Toyota,2017,4,64500,Hybrid,Automatic,20495
Toyota Rav 4,Toyota,2014,7,70131,Diesel,Automatic,13295
Toyota Rav4,Toyota,2016,5,32000,Hybrid,Automatic,21995
Toyota Rav4,Toyota,2016,5,42000,Hybrid,Automatic,21395
Toyota Prius,Toyota,2019,2,23088,Hybrid,Automatic,21495
Toyota Prius,Toyota,2016,5,63649,Hybrid,Automatic,13495
Toyota Hilux,Toyota,2016,5,64264,Diesel,Manual,19000
Toyota Corolla,Toyota,2020,1,2560,Hybrid,Automatic,22711
Toyota Corolla,Toyota,2020,1,2580,Hybrid,Automatic,24633
Toyota Corolla,Toyota,2020,1,8240,Hybrid,Automatic,24216
Toyota Corolla,Toyota,2020,1,2855,Hybrid,Automatic,23947
Toyota Corolla,Toyota,2020,1,1284,Hybrid,Automatic,26795
Toyota Corolla,Toyota,2020,1,2486,Hybrid,Automatic,20459
Toyota Corolla,Toyota,2020,1,9210,Hybrid,Automatic,26100
Toyota Corolla,Toyota,2020,1,18274,Petrol,Manual,16995
Toyota Corolla,Toyota,2020,1,4000,Hybrid,Automatic,23595
Toyota Corolla,Toyota,2020,1,3000,Hybrid,Automatic,24990
Toyota Corolla,Toyota,2020,1,3666,Hybrid,Automatic,25800
Toyota Aygo,Toyota,2019,2,7789,Petrol,Manual,9400
Toyota Aygo,Toyota,2018,3,47000,Petrol,Manual,7740
Toyota Aygo,Toyota,2019,2,15300,Petrol,Manual,9500
