iter	Passed	Remaining
292	1219	2943
293	1223	2937
294	1226	2931
295	1230	2927
296	1234	2923
297	1238	2916
298	1241	2910
299	1245	2906
300	1249	2900
301	1252	2894
302	1255	2888
303	1259	2884
304	1263	2879
305	1266	2873
306	1270	2867
307	1273	2861
308	1277	2856
309	1280	2850
310	1284	2845
311	1287	2839
312	1291	2834
313	1295	2829
314	1298	2823
315	1302	2818
316	1306	2814
317	1310	2811
318	1314	2806
319	1318	2801
320	1321	2796
321	1325	2791
322	1329	2786
323	1334	2783
324	1338	2779
325	1341	2774
326	1345	2768
327	1349	2764
328	1353	2761
329	1357	2757
330	1362	2752
331	1367	2751
332	1372	2748
333	1376	2744
334	1379	2739
335	1383	2734
336	1388	2730
337	1391	2726
338	1395	2721
339	1399	2716
340	1403	2711
341	1406	2706
342	1410	2701
343	1414	2697
344	1418	2693
345	1422	2688
346	1426	2683
347	1430	2680
348	1434	2675
349	1437	2670
350	1441	2666
351	1446	2662
352	1450	2658
353	1453	2652
354	1457	2648
355	1461	2643
356	1465	2638
357	1468	2633
358	1473	2630
359	1477	2626
360	1481	2621
361	1484	2616
362	1488	2612
363	1492	2608
364	1496	2602
365	1500	2598
366	1505	2597
367	1509	2592
368	1513	2588
369	1517	2583
370	1521	2580
371	1525	2574
372	1529	2570
373	1533	2566
374	1536	2561
375	1540	2556
376	1544	2552
377	1548	2547
378	1551	2542
379	1555	2538
380	1559	2534
381	1564	2530
382	1568	2526
383	1571	2521
384	1575	2517
385	1579	2512
386	1583	2508
387	1587	2503
388	1592	2500
389	1595	2496
390	1599	2491
391	1603	2487
392	1607	2483
393	1611	2478
394	1614	2473
395	1618	2469
396	1622	2464
397	1626	2460
398	1629	2455
399	1633	2450
400	1637	2446
401	1642	2442
402	1645	2437
403	1649	2433
404	1652	2428
405	1656	2424
406	1660	2419
407	1664	2415
408	1669	2412
409	1673	2407
410	1676	2402
411	1680	2398
412	1684	2394
413	1688	2390
414	1692	2385
415	1695	2380
416	1700	2377
417	1706	2375
418	1710	2371
419	1715	2368
420	1718	2363
421	1722	2358
422	1725	2354
423	1729	2349
424	1733	2345
425	1737	2340
426	1740	2336
427	1744	2331
428	1747	2326
429	1751	2322
430	1755	2317
431	1759	2313
432	1763	2309
433	1767	2304
434	1772	2302
435	1776	2297
436	1779	2292
437	1783	2288
438	1786	2283
439	1790	2278
440	1794	2274
441	1797	2269
442	1801	2264
443	1805	2260
444	1809	2256
445	1812	2251
446	1816	2247
447	1820	2243
448	1824	2238
449	1828	2234
450	1831	2229
451	1836	2226
452	1840	2222
453	1844	2218
454	1848	2213
455	1852	2210
456	1856	2206
457	1861	2202
458	1865	2198
459	1868	2193
460	1872	2189
461	1876	2185
462	1881	2181
463	1885	2177
464	1888	2173
465	1892	2168
466	1896	2164
467	1901	2161
468	1907	2159
469	1911	2155
470	1915	2150
471	1918	2146
472	1922	2141
473	1925	2136
474	1929	2132
475	1933	2128
476	1936	2123
477	1940	2119
478	1943	2114
479	1947	2110
480	1951	2105
481	1955	2101
482	1958	2096
483	1963	2092
484	1966	2088
485	1970	2083
486	1974	2079
487	1977	2075
488	1981	2070
489	1984	2066
490	1988	2061
491	1992	2057
492	1996	2053
493	2000	2049
494	2004	2045
495	2008	2041
496	2013	2037
497	2016	2032
498	2019	2028
499	2023	2023
500	2027	2019
501	2030	2014
502	2034	2010
503	2038	2006
504	2042	2002
505	2047	1999
506	2051	1994
507	2054	1990
508	2058	1986
509	2062	1981
510	2066	1977
511	2070	1973
512	2074	1969
513	2078	1964
514	2081	1960
515	2085	1956
516	2089	1952
517	2093	1947
518	2097	1943
519	2102	1940
520	2106	1936
521	2109	1931
522	2112	1927
523	2117	1923
524	2121	1919
525	2125	1915
526	2128	1910
527	2132	1906
528	2135	1901
529	2139	1897
530	2143	1893
531	2147	1889
532	2151	1884
533	2156	1882
534	2160	1877
535	2163	1873
536	2167	1868
537	2172	1865
538	2176	1861
539	2179	1856
540	2183	1852
541	2186	1847
542	2190	1843
543	2194	1839
544	2197	1834
545	2201	1830
546	2206	1826
547	2211	1823
548	2216	1820
549	2220	1816
550	2224	1812
551	2228	1808
552	2231	1803
553	2236	1800
554	2239	1795
555	2243	1791
556	2247	1787
557	2251	1783
558	2254	1778
559	2258	1774
560	2262	1770
561	2265	1765
562	2269	1761
563	2272	1756
564	2276	1752
565	2279	1748
566	2283	1744
567	2287	1739
568	2291	1735
569	2294	1731
570	2298	1726
571	2301	1722
572	2305	1717
573	2308	1713
574	2312	1709
575	2315	1704
576	2319	1700
577	2322	1695
578	2326	1691
579	2329	1687
580	2333	1682
581	2337	1678
582	2341	1674
583	2344	1670
584	2348	1665
585	2351	1661
586	2355	1657
587	2359	1653
588	2363	1649
589	2368	1646
590	2372	1641
591	2375	1637
592	2379	1633
593	2383	1629
594	2386	1624
595	2390	1620
596	2394	1616
597	2398	1612
598	2401	1607
599	2405	1603
600	2408	1599
601	2412	1594
602	2415	1590
603	2419	1586
604	2423	1581
605	2426	1577
606	2430	1573
607	2433	1569
608	2437	1564
609	2440	1560
610	2444	1556
611	2448	1552
612	2451	1547
613	2455	1543
614	2458	1539
615	2462	1534
616	2465	1530
617	2469	1526
618	2473	1522
619	2476	1518
620	2480	1513
621	2483	1509
622	2487	1505
623	2491	1501
624	2494	1496
625	2498	1492
626	2501	1488
627	2505	1484
628	2509	1480
629	2512	1475
630	2516	1471
631	2519	1467
632	2523	1462
633	2526	1458
634	2530	1454
635	2535	1451
636	2540	1447
637	2543	1443
638	2548	1439
639	2551	1435
640	2555	1431
641	2559	1427
642	2563	1423
643	2567	1419
644	2570	1414
645	2574	1410
646	2577	1406
647	2581	1402
648	2584	1398
649	2588	1393
650	2592	1389
651	2595	1385
652	2599	1381
653	2602	1376
654	2606	1372
655	2609	1368
656	2613	1364
657	2616	1360
658	2620	1356
659	2624	1351
660	2627	1347
661	2630	1343
662	2634	1339
663	2638	1335
664	2641	1330
665	2645	1326
666	2649	1322
667	2652	1318
668	2656	1314
669	2660	1310
670	2663	1305
671	2667	1301
672	2670	1297
673	2674	1293
674	2677	1289
675	2682	1285
676	2686	1281
677	2690	1277
678	2694	1273
679	2700	1270
680	2703	1266
681	2707	1262
682	2712	1258
683	2716	1255
684	2720	1251
685	2724	1246
686	2729	1243
687	2732	1239
688	2736	1235
689	2739	1230
690	2743	1226
691	2747	1222
692	2750	1218
693	2754	1214
694	2757	1210
695	2761	1206
696	2765	1202
697	2769	1198
698	2773	1194
699	2777	1190
700	2780	1185
701	2784	1182
702	2788	1177
703	2791	1173
704	2795	1169
705	2799	1165
706	2802	1161
707	2806	1157
708	2809	1153
709	2813	1149
710	2817	1145
711	2820	1140
712	2824	1136
713	2828	1132
714	2831	1128
715	2835	1124
716	2838	1120
717	2842	1116
718	2847	1112
719	2851	1108
720	2855	1104
721	2860	1101
722	2865	1097
723	2868	1093
724	2873	1090
725	2877	1085
726	2881	1082
727	2889	1079
728	2896	1076
729	2900	1072
730	2904	1068
731	2908	1064
732	2911	1060
733	2915	1056
734	2919	1052
735	2923	1048
736	2926	1044
737	2930	1040
738	2934	1036
739	2938	1032
740	2941	1028
741	2945	1024
742	2949	1020
743	2952	1015
744	2955	1011
745	2960	1008
746	2964	1004
747	2968	1000
748	2972	996
749	2976	992
750	2979	987
751	2983	983
752	2986	979
753	2990	975
754	2994	971
755	2998	967
756	3002	963
757	3005	959
758	3009	955
759	3013	951
760	3016	947
761	3021	943
762	3025	939
763	3029	935
764	3033	931
765	3036	927
766	3040	923
767	3044	919
768	3048	915
769	3052	911
770	3055	907
771	3058	903
772	3062	899
773	3065	895
774	3069	891
775	3072	886
776	3075	882
777	3079	878
778	3083	874
779	3086	870
780	3090	866
781	3093	862
782	3097	858
783	3100	854
784	3104	850
785	3108	846
786	3113	842
787	3116	838
788	3120	834
789	3123	830
790	3127	826
791	3131	822
792	3137	818
793	3140	814
794	3144	810
795	3149	807
796	3153	803
797	3158	799
798	3162	795
799	3166	791
800	3170	787
801	3174	783
802	3180	780
803	3184	776
804	3187	772
805	3192	768
806	3195	764
807	3200	760
808	3203	756
809	3209	752
810	3215	749
811	3218	745
812	3222	741
813	3225	737
814	3229	733
815	3234	729
816	3239	725
817	3243	721
818	3247	717
819	3251	713
820	3257	710
821	3261	706
822	3265	702
823	3269	698
824	3273	694
825	3277	690
826	3281	686
827	3285	682
828	3289	678
829	3293	674
830	3297	670
831	3300	666
832	3304	662
833	3308	658
834	3311	654
835	3315	650
836	3319	646
837	3323	642
838	3327	638
839	3330	634
840	3333	630
841	3337	626
842	3344	622
843	3348	618
844	3351	614
845	3354	610
846	3359	606
847	3362	602
848	3366	598
849	3370	594
850	3376	591
851	3380	587
852	3384	583
853	3388	579
854	3392	575
855	3396	571
856	3400	567
857	3404	563
858	3408	559
859	3411	555
860	3416	551
861	3424	548
862	3431	544
863	3439	541
864	3443	537
865	3448	533
866	3454	529
867	3465	526
868	3469	523
869	3475	519
870	3482	515
871	3485	511
872	3492	508
873	3499	504
874	3508	501
875	3512	497
876	3520	493
877	3525	489
878	3528	485
879	3534	481
880	3537	477
881	3542	473
882	3547	470
883	3552	466
884	3558	462
885	3566	458
886	3578	455
887	3583	451
888	3588	448
889	3600	445
890	3605	441
891	3609	436
892	3616	433
893	3621	429
894	3631	426
895	3637	422
896	3645	418
897	3649	414
898	3655	410
899	3660	406
900	3664	402
901	3670	398
902	3676	394
903	3682	391
904	3686	386
905	3690	382
906	3695	378
907	3698	374
908	3708	371
909	3719	367
910	3731	364
911	3745	361
912	3759	358
913	3769	354
914	3778	351
915	3792	347
916	3796	343
917	3801	339
918	3805	335
919	3811	331
920	3820	327
921	3825	323
922	3829	319
923	3838	315
924	3850	312
925	3854	308
926	3862	304
927	3867	300
928	3878	296
929	3886	292
930	3896	288
931	3903	284
932	3911	280
933	3919	276
934	3927	273
935	3932	268
936	3939	264
937	3946	260
938	3955	256
939	3961	252
940	3969	248
941	3975	244
942	3980	240
943	3984	236
944	3991	232
945	3998	228
946	4003	224
947	4014	220
948	4018	215
949	4024	211
950	4029	207
951	4038	203
952	4042	199
953	4050	195
954	4057	191
955	4060	186
956	4064	182
957	4069	178
958	4072	174
959	4077	169
960	4081	165
961	4085	161
962	4089	157
963	4093	152
964	4097	148
965	4100	144
966	4107	140
967	4115	136
968	4120	131
969	4123	127
970	4129	123
971	4133	119
972	4141	114
973	4146	110
974	4155	106
975	4161	102
976	4169	98
977	4173	93
978	4179	89
979	4186	85
980	4193	81
981	4199	76
982	4206	72
983	4215	68
984	4219	64
985	4224	59
986	4229	55
987	4235	51
988	4242	47
989	4247	42
990	4251	38
991	4259	34
992	4263	30
993	4266	25
994	4271	21
995	4275	17
996	4279	12
997	4286	8
998	4291	4
999	4296	0
