iter	RMSE
360	0.2214440202
361	0.2213670427
362	0.2213249121
363	0.2212568576
364	0.2211428545
365	0.2210609453
366	0.2209159725
367	0.2208682667
368	0.2208150142
369	0.2207624271
370	0.2206676567
371	0.2205784524
372	0.2205348402
373	0.2204762488
374	0.2203832427
375	0.2201846067
376	0.2201237998
377	0.2200079336
378	0.2199485773
379	0.2199232458
380	0.2198589111
381	0.2197355309
382	0.2196629797
383	0.219532105
384	0.2195058344
385	0.2194544032
386	0.2194300495
387	0.2193144551
388	0.2192197799
389	0.2191657362
390	0.2190740043
391	0.2190190734
392	0.2189462242
393	0.2188603747
394	0.2188099806
395	0.2186755202
396	0.2186175977
397	0.2185646703
398	0.2185504284
399	0.2184897407
400	0.2184228361
401	0.218304356
402	0.2182320567
403	0.2181774676
404	0.2181564356
405	0.2180727247
406	0.2179629127
407	0.2178949751
408	0.2178049748
409	0.2176851535
410	0.2176654503
411	0.217576304
412	0.2175454135
413	0.2174969782
414	0.2174469521
415	0.2174048244
416	0.2173524725
417	0.2172652953
418	0.2172207517
419	0.2171728347
420	0.2170400932
421	0.2168934848
422	0.2168123049
423	0.2167670344
424	0.216680246
425	0.2166351256
426	0.2164843258
427	0.2164324082
428	0.216384632
429	0.2163078723
430	0.2162321316
431	0.2160878278
432	0.2159932573
433	0.2158814808
434	0.2158485448
435	0.2157957457
436	0.2156564804
437	0.2155856173
438	0.2154723598
439	0.2153631232
440	0.2152571523
441	0.215188749
442	0.2151125757
443	0.2150362
444	0.214932741
445	0.2147861514
446	0.214736029
447	0.2146893245
448	0.2146740586
449	0.2146555901
450	0.214579317
451	0.2144962171
452	0.2143610793
453	0.2142358683
454	0.2141488924
455	0.2140782033
456	0.2139489176
457	0.2138298457
458	0.2136613095
459	0.2135605323
460	0.2134706146
461	0.2134062503
462	0.2133883638
463	0.2133012857
464	0.2132276928
465	0.2131821674
466	0.213109002
467	0.2130135608
468	0.2129703526
469	0.2128868972
470	0.2128561392
471	0.2128094064
472	0.2127300005
473	0.2126861473
474	0.212576442
475	0.2125633086
476	0.2124389522
477	0.2123735924
478	0.2123197641
479	0.2122520255
480	0.212196323
481	0.2121424049
482	0.2121043409
483	0.212046451
484	0.2119289476
485	0.2118784654
486	0.2117885185
487	0.2117338688
488	0.2116378679
489	0.2115951381
490	0.2115140223
491	0.2114015347
492	0.2113103155
493	0.2112143312
494	0.2111923165
495	0.2110824361
496	0.2109964553
497	0.2109015657
498	0.2108432158
499	0.2107733744
500	0.2107023946
501	0.2105760321
502	0.2104878874
503	0.210443446
504	0.2103699981
505	0.2102769421
506	0.2102348275
507	0.2101472968
508	0.2100408261
509	0.2099784422
510	0.2098725159
511	0.2097866049
512	0.2096899475
513	0.2096069269
514	0.209515415
515	0.2094635821
516	0.2094271652
517	0.2093744216
518	0.209346751
519	0.2092920446
520	0.2092809342
521	0.2092109268
522	0.2091455612
523	0.2090716243
524	0.2089911215
525	0.2089178752
526	0.2088755939
527	0.2088003911
528	0.2087540635
529	0.2086316619
530	0.2085575691
531	0.208441223
532	0.2083448645
533	0.208292633
534	0.2082801707
535	0.2082479946
536	0.2081591287
537	0.2081348043
538	0.2080725606
539	0.2080080553
540	0.2079724798
541	0.2079308456
542	0.2078310363
543	0.2077872247
544	0.2077177766
545	0.2076340551
546	0.2076038533
547	0.2075506285
548	0.2074448414
549	0.2073843861
550	0.2072676323
551	0.2072086169
552	0.2071421452
553	0.2071177242
554	0.2070654687
555	0.2069528418
556	0.2068707125
557	0.2067581665
558	0.2067012915
559	0.2066589942
560	0.2065852299
561	0.2065310774
562	0.2065128615
563	0.2064526678
564	0.2063755043
565	0.2063359788
566	0.2062556078
567	0.2062143531
568	0.2061682352
569	0.2060765927
570	0.205983315
571	0.205943688
572	0.2058642256
573	0.2057585675
574	0.2057090491
575	0.2056602173
576	0.2055849571
577	0.2055144814
578	0.205502545
579	0.2053958229
580	0.2053347849
581	0.205283477
582	0.2052624669
583	0.2051967321
584	0.2051426809
585	0.2050569908
586	0.2049881774
587	0.2049264809
588	0.2048895352
589	0.2047853948
590	0.2047520229
591	0.2046825681
592	0.2046171622
593	0.2045441235
594	0.2045384733
595	0.204465865
596	0.2044087914
597	0.2043594457
598	0.2042145884
599	0.2041638694
600	0.2041260404
601	0.2040681234
602	0.2040578268
603	0.2040205653
604	0.203965574
605	0.2039041141
606	0.2038532251
607	0.2037537215
608	0.2037160402
609	0.203659817
610	0.2035882331
611	0.2034860704
612	0.2034107778
613	0.203367195
614	0.2032838354
615	0.2032150481
616	0.2031643986
617	0.2030917402
618	0.20304101
619	0.2029651154
620	0.2029254475
621	0.2028905972
622	0.2028524084
623	0.2027846893
624	0.2027638177
625	0.2027289035
626	0.2026613388
627	0.202544955
628	0.202480498
629	0.2024258631
630	0.2022979496
631	0.2022133879
632	0.2021549301
633	0.2021109633
634	0.2020312493
635	0.2019950442
636	0.2019813852
637	0.2019235952
638	0.2018776245
639	0.2018087931
640	0.2016913759
641	0.2016466088
642	0.2015865281
643	0.2015497114
644	0.201517142
645	0.2014608911
646	0.2014487269
647	0.2014272
648	0.2013578525
649	0.2013374835
650	0.2012471668
651	0.201198018
652	0.2011258052
653	0.2011050162
654	0.2010694975
655	0.2010295014
656	0.2009320822
657	0.2008941216
658	0.2008774501
659	0.2008464025
660	0.2008008214
661	0.2007126657
662	0.2006735906
663	0.200639145
664	0.2006205545
665	0.2005762324
666	0.2004683253
667	0.2004373161
668	0.2004142718
669	0.2003698317
670	0.2003294506
671	0.2003016296
672	0.2002790296
673	0.2002490097
674	0.2002257682
675	0.2001693891
676	0.2000893384
677	0.2000571765
678	0.2000201659
679	0.199957465
680	0.1998732846
681	0.1998049273
682	0.199784421
683	0.1997090273
684	0.1996650015
685	0.1996023095
686	0.1995573957
687	0.1995032676
688	0.1993980546
689	0.1993220535
690	0.1992902375
691	0.1992003987
692	0.1991304284
693	0.1990696436
694	0.1990266798
695	0.198938584
696	0.1989038137
697	0.1988390097
698	0.1987818297
699	0.1987309657
700	0.1986798924
701	0.1985790899
702	0.1985446171
703	0.1984052043
704	0.1983580766
705	0.1983160641
706	0.1982726148
707	0.198222257
708	0.1981777038
709	0.1981039053
710	0.1980491423
711	0.1979690975
712	0.1979150829
713	0.1978655382
714	0.1978315876
715	0.1977701169
716	0.1977053912
717	0.197646397
718	0.1975902723
719	0.1975235776
720	0.1974810922
721	0.1974201863
722	0.1973620927
723	0.1973199429
724	0.1972496837
725	0.1971997312
726	0.1971377467
727	0.1970986255
728	0.1970664104
729	0.1969982318
730	0.1969664942
731	0.196919476
732	0.1968507282
733	0.1968095085
734	0.196784973
735	0.1967155832
736	0.1966805654
737	0.1965800811
738	0.196528454
739	0.1964761709
740	0.1964629393
741	0.196390168
742	0.1963480914
743	0.1963051853
744	0.1962633047
745	0.1962249069
746	0.1961907198
747	0.196160279
748	0.196103582
749	0.1960465969
750	0.1959906377
751	0.1958843448
752	0.1958447068
753	0.1958305664
754	0.1957963288
755	0.1957410922
756	0.195722029
757	0.1956505899
758	0.1956220614
759	0.1955628989
760	0.1955258303
761	0.1954513885
762	0.1953843936
763	0.1953221022
764	0.1952756727
765	0.1951913987
766	0.1951455911
767	0.1950647415
768	0.1949522807
769	0.1949248778
770	0.194904831
771	0.1948408357
772	0.1947798416
773	0.1947352077
774	0.1946972269
775	0.1946662821
776	0.1946207571
777	0.1945644397
778	0.1945445274
779	0.1945154846
780	0.1944897611
781	0.1944324748
782	0.1944187628
783	0.1943955904
784	0.1943607578
785	0.1943498519
786	0.1942998644
787	0.1942308674
788	0.1941975822
789	0.1941418911
790	0.1941025208
791	0.1940220533
792	0.1939734474
793	0.1938846132
794	0.1938358532
795	0.193794235
796	0.1937668017
797	0.193719536
798	0.1937005189
799	0.1936408594
800	0.1936024479
801	0.1935757614
802	0.1935396814
803	0.1934933467
804	0.1934428595
805	0.1933900465
806	0.1933285944
807	0.1932620764
808	0.1931978731
809	0.1931478167
810	0.1931196682
811	0.1930761463
812	0.1930264621
813	0.1929825718
814	0.1929371729
815	0.1928928312
816	0.1928538895
817	0.1928002985
818	0.192767239
819	0.1926949365
820	0.1926508723
821	0.1925959437
822	0.1925836337
823	0.1925494323
824	0.1925009405
825	0.1924048293
826	0.1923798163
827	0.1923065556
828	0.1922635035
829	0.1922092501
830	0.1921645555
831	0.1920805424
832	0.1920474336
833	0.1919820382
834	0.191947444
835	0.1918971915
836	0.191830273
837	0.1917686535
838	0.1917084615
839	0.1916855945
840	0.1916416063
841	0.1915499721
842	0.191511117
843	0.1914998244
844	0.1914345678
845	0.1913462172
846	0.1912901429
847	0.1912669755
848	0.1912343043
849	0.1912016808
850	0.1911271459
851	0.1910809228
852	0.191034684
853	0.1909929773
854	0.1909247524
855	0.1908627327
856	0.1908272169
857	0.1907697239
858	0.1907195461
859	0.1906585476
860	0.1906140933
861	0.1905489226
862	0.1905204941
863	0.1905052075
864	0.190464004
865	0.1904017444
866	0.1903551239
867	0.1903139987
868	0.1902548116
869	0.1902276755
870	0.190160284
871	0.1901334628
872	0.1900769516
873	0.1900476858
874	0.190026377
875	0.1899625827
876	0.1899347789
877	0.189870046
878	0.1898215232
879	0.1897973342
880	0.1897404609
881	0.1896960746
882	0.1896715241
883	0.1896321244
884	0.1896042939
885	0.1895852405
886	0.1895425974
887	0.1895061973
888	0.1894811859
889	0.1894043669
890	0.1893857751
891	0.1893517035
892	0.1893296734
893	0.1892768689
894	0.1892525488
895	0.1891840617
896	0.1890983806
897	0.1890808623
898	0.1890288359
899	0.1889887135
900	0.1889488298
901	0.1888984708
902	0.1888522633
903	0.1888231356
904	0.1888086471
905	0.1887288788
906	0.1886794858
907	0.188616897
908	0.1885656362
909	0.188488898
910	0.1884188772
911	0.1883934327
912	0.1883195569
913	0.1882777175
914	0.1882326114
915	0.1881527826
916	0.1880860366
917	0.1880515579
918	0.1880025829
919	0.1879052091
920	0.1878404025
921	0.1878222221
922	0.1877840539
923	0.1877603616
924	0.1876916939
925	0.1876406376
926	0.1875807413
927	0.1875643792
928	0.1875343841
929	0.1875151597
930	0.1874702575
931	0.1874231661
932	0.187362341
933	0.187347664
934	0.1872479074
935	0.1871707903
936	0.1871446102
937	0.1870625899
938	0.1870390532
939	0.1869981018
940	0.1869677996
941	0.1869442683
942	0.1868956476
943	0.186850077
944	0.1868041804
945	0.1867880454
946	0.1867703116
947	0.1867416041
948	0.1866550637
949	0.1866275298
950	0.1865877687
951	0.1865515489
952	0.1864735097
953	0.1864569794
954	0.1863670813
955	0.1862936818
956	0.1862632472
957	0.186237919
958	0.1862312143
959	0.1861902247
960	0.1861454062
961	0.1861079413
962	0.1860735896
963	0.1860314211
964	0.1859963324
965	0.1859906361
966	0.1859266934
967	0.1858797394
968	0.1858574997
969	0.1858432533
970	0.1857978968
971	0.1857651425
972	0.1857437488
973	0.1857198134
974	0.185655216
975	0.1856077473
976	0.1855741851
977	0.185546319
978	0.1855132747
979	0.185469424
980	0.1854181368
981	0.1853829654
982	0.1853587193
983	0.1853217706
984	0.1852601778
985	0.1851926443
986	0.1851698953
987	0.1851232867
988	0.1851140213
989	0.1850660871
990	0.1850453068
991	0.1850155388
992	0.1849777768
993	0.1849407638
994	0.1848972344
995	0.1848238411
996	0.1847875572
997	0.1847254539
998	0.1846938719
999	0.1846609224
